feature,importance
rolling3_mean_resistance,0.706165445536917
delta_resistance,0.20148823536908775
lag1_resistance,0.09212558837504649
lag2_resistance,2.7668985401120344e-05
lag1_watch_proportion,2.6832613425825912e-05
lag3_resistance,1.931793280488188e-05
gini,1.925595858618555e-05
gdp_per_capita,1.8822349653305398e-05
urbanisation,1.7106781708448408e-05
ses_risk_score,1.6090818913190623e-05
physicians,1.4620213592701647e-05
lag1_total_DDD,1.416216254501899e-05
health_expenditure,1.2553255220392302e-05
sanitation,1.2544368067364089e-05
water_access,1.102726223413094e-05
antibiotic_pressure_index,1.072801679613884e-05
