country,combo,mean_resistance,n_isolates
Ghana,A_baumannii_3GC,0.0,1
Ghana,Burkholderia_spp_3GC,100.0,1
Ghana,C_freundii_3GC,100.0,1
Ghana,Coagulase_negative_3GC,100.0,1
Ghana,E_cloacae_3GC,100.0,1
Ghana,E_coli_3GC,90.0,1
Ghana,K_pneumoniae_3GC,90.0,1
Ghana,Klebsiella_spp_3GC,100.0,1
Ghana,Moraxella_catarrhalis_3GC,100.0,1
Ghana,P_aeruginosa_3GC,100.0,1
Ghana,P_mirabilis_3GC,100.0,1
Ghana,Pantoea_agglomerans_3GC,100.0,1
Ghana,Pseudomonas_spp_3GC,100.0,1
Ghana,Staphylococcus_haemolyticus_3GC,100.0,1
Ghana,Staphylococcus_spp_3GC,50.0,1
Kenya,A_baumannii_3GC,50.0,1
Kenya,Achromobacter_xylosoxidans_3GC,100.0,1
Kenya,Burkholderia_spp_3GC,0.0,1
Kenya,C_freundii_3GC,100.0,1
Kenya,Coagulase_negative_Staphylococcus_3GC,100.0,1
Kenya,E_cloacae_3GC,75.0,1
Kenya,E_coli_3GC,80.76923076923077,1
Kenya,K_pneumoniae_3GC,90.0,1
Kenya,Klebsiella_oxytoca_3GC,100.0,1
Kenya,M_morganii_3GC,100.0,1
Kenya,P_aeruginosa_3GC,100.0,1
Kenya,P_mirabilis_3GC,50.0,1
Kenya,Providencia_spp_3GC,0.0,1
Kenya,Raoultella_ornithinolytica_3GC,0.0,1
Kenya,S_aureus_3GC,100.0,1
Kenya,S_marcescens_3GC,100.0,1
Kenya,Staphylococcus_epidermidis_3GC,75.0,1
Kenya,Staphylococcus_haemolyticus_3GC,66.66666666666667,1
Kenya,Staphylococcus_hominis_3GC,66.66666666666667,1
Kenya,Staphylococcus_spp_3GC,100.0,1
Malawi,Acinetobacter_spp_3GC,100.0,1
Malawi,P_aeruginosa_3GC,100.0,1
Malawi,S_aureus_3GC,100.0,1
Uganda,A_baumannii_3GC,100.0,1
Uganda,Acinetobacter_spp_3GC,100.0,1
Uganda,C_freundii_3GC,100.0,1
Uganda,E_coli_3GC,100.0,1
Uganda,Enterococcus_spp_3GC,100.0,1
Uganda,K_pneumoniae_3GC,83.33333333333333,1
Uganda,M_morganii_3GC,100.0,1
Uganda,P_aeruginosa_3GC,100.0,1
Uganda,Providencia_spp_3GC,100.0,1
Uganda,S_aureus_3GC,100.0,1
